number,chance
1,500000.0
2,250000.0
3,125000.0
4,62500.0
5,31250.0
6,15625.0
7,7812.5
8,3906.25
9,1953.125
10,976.5625
11,488.28125
12,244.140625
13,122.0703125
14,61.03515625
15,30.517578125
16,15.2587890625
17,7.62939453125
18,3.814697265625
19,1.9073486328125
20,0.95367431640625
21,0.476837158203125
22,0.2384185791015625
23,0.11920928955078125
24,0.059604644775390625
25,0.029802322387695312
26,0.014901161193847656
27,0.007450580596923828
28,0.003725290298461914
29,0.001862645149230957
30,0.0009313225746154785
31,0.00046566128730773926
